ArrayExpress_Sex_s	ArrayExpress_Species_s	AvgSpotLen_l	BioSample_s	Experiment_s	InsertSize_l	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
male	Copadichromis quadrimaculatus	200	SAMEA1904324	ERX272537	350	6810978	2013-06-28	4670	3373	Copadichromis quadrimaculatus	2013-06-19	ERR299212	ERS208886	Southeast Arm	Copadichromis_quadrimaculatus-sc-2013-01-28T12:01:26Z-1530731	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis virginalis	200	SAMEA1904329	ERX272538	350	6810990	2013-06-28	5294	3818	Copadichromis virginalis	2013-06-19	ERR299213	ERS208887	Southeast Arm	Copadichromis_virginalis-sc-2013-01-28T12:01:27Z-1530732	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops sp. oliveri	200	SAMEA1904330	ERX272539	350	6811002	2013-06-28	4588	3317	Lethrinops sp. 'oliveri'	2013-06-19	ERR299214	ERS208888	Southeast Arm	Lethrinops_sp__oliveri-sc-2013-01-28T12:01:28Z-1530733	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Alticorpus geoffreyi	200	SAMEA1904331	ERX272540	350	6811014	2013-06-28	5488	3932	Alticorpus geoffreyi	2013-06-19	ERR299215	ERS208889	Southeast Arm	Alticorpus_geoffreyi-sc-2013-01-28T12:01:29Z-1530734	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276680	350	6813829	2013-07-01	4815	3413	Astatotilapia calliptera	2013-07-07	ERR303339	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276681	350	6813841	2013-07-01	4606	3273	Astatotilapia calliptera	2013-07-07	ERR303340	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX276682	350	6813853	2013-07-01	4467	3176	Astatotilapia calliptera	2013-07-07	ERR303341	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276683	350	6813865	2013-07-01	4795	3406	Lethrinops lethrinus	2013-07-07	ERR303342	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276684	350	6813877	2013-07-01	4533	3214	Lethrinops lethrinus	2013-07-07	ERR303343	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276685	350	6813794	2013-07-01	3696	2623	Lethrinops lethrinus	2013-07-07	ERR303344	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276686	350	6813806	2013-07-01	4149	2945	Aulonocara stuartgranti	2013-07-07	ERR303345	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276687	350	6813818	2013-07-01	4583	3258	Aulonocara stuartgranti	2013-07-07	ERR303346	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276688	350	6813830	2013-07-01	4124	2933	Aulonocara stuartgranti	2013-07-07	ERR303347	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276689	350	6813829	2013-07-01	4832	3392	Astatotilapia calliptera	2013-07-07	ERR303348	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276690	350	6813841	2013-07-01	4618	3251	Astatotilapia calliptera	2013-07-07	ERR303349	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX276691	350	6813853	2013-07-01	4479	3155	Astatotilapia calliptera	2013-07-07	ERR303350	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276692	350	6813865	2013-07-01	4810	3383	Lethrinops lethrinus	2013-07-07	ERR303351	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276693	350	6813877	2013-07-01	4543	3191	Lethrinops lethrinus	2013-07-07	ERR303352	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276694	350	6813794	2013-07-01	3713	2610	Lethrinops lethrinus	2013-07-07	ERR303353	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276695	350	6813806	2013-07-01	4156	2922	Aulonocara stuartgranti	2013-07-07	ERR303354	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276696	350	6813818	2013-07-01	4592	3234	Aulonocara stuartgranti	2013-07-07	ERR303355	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276697	350	6813830	2013-07-01	4141	2918	Aulonocara stuartgranti	2013-07-07	ERR303356	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276698	350	6813829	2013-07-01	4825	3394	Astatotilapia calliptera	2013-07-07	ERR303357	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276699	350	6813841	2013-07-01	4613	3253	Astatotilapia calliptera	2013-07-07	ERR303358	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX276700	350	6813853	2013-07-01	4474	3157	Astatotilapia calliptera	2013-07-07	ERR303359	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276701	350	6813865	2013-07-01	4802	3385	Lethrinops lethrinus	2013-07-07	ERR303360	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276702	350	6813877	2013-07-01	4534	3191	Lethrinops lethrinus	2013-07-07	ERR303361	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276703	350	6813794	2013-07-01	3700	2606	Lethrinops lethrinus	2013-07-07	ERR303362	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276704	350	6813806	2013-07-01	4156	2927	Aulonocara stuartgranti	2013-07-07	ERR303363	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276705	350	6813818	2013-07-01	4589	3237	Aulonocara stuartgranti	2013-07-07	ERR303364	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276706	350	6813830	2013-07-01	4137	2920	Aulonocara stuartgranti	2013-07-07	ERR303365	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276707	350	6813829	2013-07-01	4832	3425	Astatotilapia calliptera	2013-07-07	ERR303366	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276708	350	6813841	2013-07-01	4620	3284	Astatotilapia calliptera	2013-07-07	ERR303367	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX276709	350	6813853	2013-07-01	4481	3187	Astatotilapia calliptera	2013-07-07	ERR303368	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276710	350	6813865	2013-07-01	4807	3415	Lethrinops lethrinus	2013-07-07	ERR303369	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276711	350	6813877	2013-07-01	4545	3222	Lethrinops lethrinus	2013-07-07	ERR303370	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276712	350	6813794	2013-07-01	3717	2638	Lethrinops lethrinus	2013-07-07	ERR303371	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276713	350	6813806	2013-07-01	4155	2949	Aulonocara stuartgranti	2013-07-07	ERR303372	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276714	350	6813818	2013-07-01	4589	3263	Aulonocara stuartgranti	2013-07-07	ERR303373	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276715	350	6813830	2013-07-01	4139	2944	Aulonocara stuartgranti	2013-07-07	ERR303374	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276716	350	6813829	2013-07-01	4831	3402	Astatotilapia calliptera	2013-07-07	ERR303375	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276717	350	6813841	2013-07-01	4621	3263	Astatotilapia calliptera	2013-07-07	ERR303376	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX276718	350	6813853	2013-07-01	4483	3167	Astatotilapia calliptera	2013-07-07	ERR303377	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276719	350	6813865	2013-07-01	4807	3392	Lethrinops lethrinus	2013-07-07	ERR303378	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276720	350	6813877	2013-07-01	4543	3201	Lethrinops lethrinus	2013-07-07	ERR303379	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276751	350	6813830	2013-07-01	4125	2950	Aulonocara stuartgranti	2013-07-07	ERR303410	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276721	350	6813794	2013-07-01	3714	2619	Lethrinops lethrinus	2013-07-07	ERR303380	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276722	350	6813806	2013-07-01	4157	2932	Aulonocara stuartgranti	2013-07-07	ERR303381	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276723	350	6813818	2013-07-01	4593	3244	Aulonocara stuartgranti	2013-07-07	ERR303382	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276724	350	6813830	2013-07-01	4140	2926	Aulonocara stuartgranti	2013-07-07	ERR303383	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276725	350	6813829	2013-07-01	4837	3420	Astatotilapia calliptera	2013-07-07	ERR303384	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276726	350	6813841	2013-07-01	4624	3278	Astatotilapia calliptera	2013-07-07	ERR303385	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX276727	350	6813853	2013-07-01	4486	3182	Astatotilapia calliptera	2013-07-07	ERR303386	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276728	350	6813865	2013-07-01	4812	3409	Lethrinops lethrinus	2013-07-07	ERR303387	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276729	350	6813877	2013-07-01	4546	3215	Lethrinops lethrinus	2013-07-07	ERR303388	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276730	350	6813794	2013-07-01	3718	2632	Lethrinops lethrinus	2013-07-07	ERR303389	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276731	350	6813806	2013-07-01	4158	2944	Aulonocara stuartgranti	2013-07-07	ERR303390	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276732	350	6813818	2013-07-01	4596	3259	Aulonocara stuartgranti	2013-07-07	ERR303391	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276733	350	6813830	2013-07-01	4144	2940	Aulonocara stuartgranti	2013-07-07	ERR303392	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276734	350	6813829	2013-07-01	4826	3404	Astatotilapia calliptera	2013-07-07	ERR303393	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276735	350	6813841	2013-07-01	4614	3264	Astatotilapia calliptera	2013-07-07	ERR303394	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Astatotilapia calliptera	200	SAMEA1920091	ERX276736	350	6813853	2013-07-01	4481	3171	Astatotilapia calliptera	2013-07-07	ERR303395	ERS208874	Salima region	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Lethrinops lethrinus	200	SAMEA1920093	ERX276737	350	6813865	2013-07-01	4802	3394	Lethrinops lethrinus	2013-07-07	ERR303396	ERS208875	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___father_-sc-2013-01-28T12:01:12Z-1530720	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Lethrinops lethrinus	200	SAMEA1920094	ERX276738	350	6813877	2013-07-01	4536	3201	Lethrinops lethrinus	2013-07-07	ERR303397	ERS208876	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___mother_-sc-2013-01-28T12:01:13Z-1530721	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Lethrinops lethrinus	200	SAMEA1920095	ERX276739	350	6813794	2013-07-01	3721	2628	Lethrinops lethrinus	2013-07-07	ERR303398	ERS208877	Mazinzi reef	Lethrinops_lethrinus__Mazinzi___offspring_-sc-2013-01-28T12:01:15Z-1530722	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Aulonocara stuartgranti	200	SAMEA1920096	ERX276740	350	6813806	2013-07-01	4160	2939	Aulonocara stuartgranti	2013-07-07	ERR303399	ERS208882	Usisya region	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Aulonocara stuartgranti	200	SAMEA1920097	ERX276741	350	6813818	2013-07-01	4590	3247	Aulonocara stuartgranti	2013-07-07	ERR303400	ERS208883	Usisya region	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Aulonocara stuartgranti	200	SAMEA1920098	ERX276742	350	6813830	2013-07-01	4136	2928	Aulonocara stuartgranti	2013-07-07	ERR303401	ERS208884	Usisya region	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia calliptera	200	SAMEA1920092	ERX276743	350	6813829	2013-07-01	4810	3428	Astatotilapia calliptera	2013-07-07	ERR303402	ERS208872	Salima region	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
female	Astatotilapia calliptera	200	SAMEA1920090	ERX276744	350	6813841	2013-07-01	4600	3287	Astatotilapia calliptera	2013-07-07	ERR303403	ERS208873	Salima region	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
